"id","title","type","description","category","link","download_link"
25,"Angular","skill","JavaScript framework for building complex web applications","Frontend","https://roadmap.sh/angular","https://roadmap.sh/pdfs/roadmaps/angular.pdf"
26,"Spring Boot","skill","Java framework for building microservices","Backend","https://roadmap.sh/spring-boot","https://roadmap.sh/pdfs/roadmaps/spring-boot.pdf"
27,"ASP.NET Core","skill","Open-source framework for building web applications","Backend","https://roadmap.sh/aspnet-core","https://roadmap.sh/pdfs/roadmaps/aspnet-core.pdf"
28,"JavaScript","skill","Programming language for web development","Frontend","https://roadmap.sh/javascript","https://roadmap.sh/pdfs/roadmaps/javascript.pdf"
29,"TypeScript","skill","Typed superset of JavaScript","Frontend","https://roadmap.sh/typescript","https://roadmap.sh/pdfs/roadmaps/typescript.pdf"
30,"Node.js","skill","JavaScript runtime environment","Backend","https://roadmap.sh/nodejs","https://roadmap.sh/pdfs/roadmaps/nodejs.pdf"
31,"C++","skill","General-purpose programming language","Backend","https://roadmap.sh/cpp","https://roadmap.sh/pdfs/roadmaps/cpp.pdf"
32,"Go","skill","Programming language for efficient systems programming","Backend","https://roadmap.sh/golang","https://roadmap.sh/pdfs/roadmaps/golang.pdf"
33,"Rust","skill","Programming language for performance and safety","Backend","https://roadmap.sh/rust","https://roadmap.sh/pdfs/roadmaps/rust.pdf"
34,"Python","skill","General-purpose programming language","Backend","https://roadmap.sh/python","https://roadmap.sh/pdfs/roadmaps/python.pdf"
35,"Java","skill","General-purpose programming language","Backend","https://roadmap.sh/java","https://roadmap.sh/pdfs/roadmaps/java.pdf"
36,"SQL","skill","Structured Query Language for managing relational databases","Database","https://roadmap.sh/sql","https://roadmap.sh/pdfs/roadmaps/sql.pdf"
37,"Docker","skill","Containerization platform","DevOps","https://roadmap.sh/docker","https://roadmap.sh/pdfs/roadmaps/docker.pdf"
38,"Kubernetes","skill","Container orchestration platform","DevOps","https://roadmap.sh/kubernetes","https://roadmap.sh/pdfs/roadmaps/kubernetes.pdf"
39,"AWS","skill","Cloud computing platform","Cloud","https://roadmap.sh/aws","https://roadmap.sh/pdfs/roadmaps/aws.pdf"
40,"Linux","skill","Operating system","DevOps","https://roadmap.sh/linux","https://roadmap.sh/pdfs/roadmaps/linux.pdf"
41,"Terraform","skill","Infrastructure as Code tool","DevOps","https://roadmap.sh/terraform","https://roadmap.sh/pdfs/roadmaps/terraform.pdf"
42,"React Native","skill","Framework for building native mobile apps","Mobile","https://roadmap.sh/react-native","https://roadmap.sh/pdfs/roadmaps/react-native.pdf"
43,"Flutter","skill","Framework for building cross-platform apps","Mobile","https://roadmap.sh/flutter","https://roadmap.sh/pdfs/roadmaps/flutter.pdf"
44,"MongoDB","skill","NoSQL database","Database","https://roadmap.sh/mongodb","https://roadmap.sh/pdfs/roadmaps/mongodb.pdf   "
45,"Redis","skill","In-memory data structure store","Database","https://roadmap.sh/redis","https://roadmap.sh/pdfs/roadmaps/redis.pdf"
46,"Computer Science","skill","Study of algorithms and data structures","Fundamentals","https://roadmap.sh/computer-science","https://roadmap.sh/pdfs/roadmaps/computer-science.pdf"
47,"Data Structures","skill","Organization of data for efficient access","Fundamentals","https://roadmap.sh/software-design-architecture","https://roadmap.sh/pdfs/roadmaps/software-design-architecture.pdf"
48,"System Design","skill","Designing large-scale systems","Architecture","https://roadmap.sh/system-design","https://roadmap.sh/pdfs/roadmaps/system-design.pdf"
49,"Design and Architecture","skill","Designing software systems","Architecture","https://roadmap.sh/design-and-architecture","https://roadmap.sh/pdfs/roadmaps/software-design-architecture.pdf"
50,"Code Review","skill","Reviewing code for quality and best practices","DevOps","https://roadmap.sh/code-review","https://roadmap.sh/pdfs/roadmaps/code-review.pdf"
51,"Prompt Engineering","skill","Crafting effective prompts for AI models","AI","https://roadmap.sh/prompt-engineering","https://roadmap.sh/pdfs/roadmaps/prompt-engineering.pdf"
52,"Design System","skill","Collection of reusable UI components","Design","https://roadmap.sh/design-system","https://roadmap.sh/pdfs/roadmaps/design-system.pdf "
